Training_level	effect	variable	V1	V2
Attending	Missense	ppv	0.934460039270378	0.016344480256807
Attending	Null	ppv	0.476255007935149	0.056928646898619
Attending	Wild-type	ppv	0.611758582473797	0.0476254314467924
Resident	Missense	ppv	0.862855303503205	0.0206238438114877
Resident	Null	ppv		
Resident	Wild-type	ppv	0.394002545123736	0.0530791593520364
Fellow	Missense	ppv	0.932206398419811	0.0169227895366444
Fellow	Null	ppv	0.765727420536978	0.057958598139678
Fellow	Wild-type	ppv	0.788854349476303	0.0369437977116701
Consensus	Missense	ppv	0.935492187791055	0.0161006769844926
Consensus	Null	ppv	0.769678180153183	0.0665209560580824
Consensus	Wild-type	ppv	0.743090247265224	0.0437716524171097
Attending	Missense	npv	0.686531207490969	0.028451836713246
Attending	Null	npv	0.919422853720595	0.0131003326253374
Attending	Wild-type	npv	0.839236636860991	0.0180588743008647
Resident	Missense	npv	0.722887236355418	0.0302710929625651
Resident	Null	npv	0.862232216243829	0.0156398792478997
Resident	Wild-type	npv	0.773358053276621	0.0198861378942753
Fellow	Missense	npv	0.668018342211617	0.0282978728444995
Fellow	Null	npv	0.94062785497521	0.0109813635766148
Fellow	Wild-type	npv	0.920791895410629	0.0136782265974533
Consensus	Missense	npv	0.695853722366897	0.0283585173670144
Consensus	Null	npv	0.917842398679909	0.0124449716239532
Consensus	Wild-type	npv	0.868695973938852	0.0165508915751319
Attending	Missense	Sensitivity	0.713426311275669	0.0269426298896539
Attending	Null	Sensitivity	0.550369716545063	0.0618899133747705
Attending	Wild-type	Sensitivity	0.5024237739111	0.0426787724454625
Resident	Missense	Sensitivity	0.788292152086481	0.02399562411837
Resident	Null	Sensitivity	0.100263635972731	0.0359027139407539
Resident	Wild-type	Sensitivity	0.264418580531096	0.0376905613789389
Fellow	Missense	Sensitivity	0.688082702307126	0.0276794844242147
Fellow	Null	Sensitivity	0.650461251622474	0.0577480816964674
Fellow	Wild-type	Sensitivity	0.766843519903011	0.0364448910153326
Consensus	Missense	Sensitivity	0.725660478471767	0.0266367659515944
Consensus	Null	Sensitivity	0.499931173887172	0.0609325715194249
Consensus	Wild-type	Sensitivity	0.590128950547492	0.0412828642474959
Attending	Missense	Specificity	0.926188317741879	0.0183092639418734
Attending	Null	Specificity	0.89451322213114	0.0141830406146683
Attending	Wild-type	Specificity	0.890649898724133	0.0159355036259042
Resident	Missense	Specificity	0.815077101481608	0.0270407479498453
Resident	Null	Specificity	0.982684324905506	0.00624044368636075
Resident	Wild-type	Specificity	0.860437511466066	0.0181007822313781
Fellow	Missense	Specificity	0.926188317741879	0.0183092639418734
Fellow	Null	Specificity	0.965263308402763	0.00894374700812044
Fellow	Wild-type	Specificity	0.929689904485024	0.0127380944562892
Consensus	Missense	Specificity	0.926188317741879	0.0183092639418734
Consensus	Null	Specificity	0.973912556441491	0.00766825052326646
Consensus	Wild-type	Specificity	0.930059489216432	0.0128746456189177
